real_x,real_y,im_x,im_y
381,-479.85,233,120
347.65,-220.54,579,98
374.6,77.87,975,112
378.33,226.75,1171,113
358.75,424.45,1424,91
458.23,-326.72,446,239
441.83,-35.81,824,213
464.28,343.52,1326,224
563.6,-471.38,256,383
519.97,-182.28,638,317
500.17,91.12,1003,282
608.58,-387.52,361,429
641.24,-71.4,786,473
604.98,227.98,1180,405
593.81,430.11,1447,395
703.46,-477.35,250,557
720.5,89.34,1009,555
765.02,288.03,1255,599
788.79,384.91,1394,634
820.4,-419.15,310,710
794.64,-233.44,567,658
796.26,-0.23,887,678
