real_x,real_y,im_x,im_y
381,-479.85,120,233
347.65,-220.54,98,579
374.6,77.87,112,975
378.33,226.75,113,1171
358.75,424.45,91,1424
458.23,-326.72,239,446
441.83,-35.81,213,824
464.28,343.52,224,1326
563.6,-471.38,383,256
519.97,-182.28,317,638
500.17,91.12,282,1003
608.58,-387.52,429,361
641.24,-71.4,473,786
604.98,227.98,405,1180
593.81,430.11,395,1447
703.46,-477.35,557,250
720.5,89.34,555,1009
765.02,288.03,599,1255
788.79,384.91,634,1394
820.4,-419.15,710,310
794.64,-233.44,658,567
796.26,-0.23,678,887
