real_x,real_y,im_x,im_y,,,,,
21.8,-712.5,546,603,,,,,
63,-667,500,650,,,,,
-117.6,-673.6,689,642,,,,,
-270.9,-674.7,850,639,,,,,
-448.2,-672,1035,640,,,,,
106.4,-616.7,453,701,,,,,
-21.6,-572.7,581,746,,,,,
-203.7,-572.3,775,748,,,,,
-277.5,-569.3,852,751,,,,,
-367.6,-575.7,949,745,,,,,
52.3,-473.5,496,859,,,,,
-118.8,-475.9,678,858,,,,,
-199.6,-480.6,768,851,,,,,
-280.6,-485.7,854,854,,,,,
-446.1,-480.2,1037,851,,,,,184
-26.1,-400.5,573,942,,,,,
-114,-399.7,670,945,,,,,
-208.1,-401.3,775,943,,,,,
-367.3,-392,952,954,,,,,
54.4,-322.2,4799,1039,,,,,
-120.3,-322.2,670,1039,,,,,
-274.7,-311,844,1051,,,,,
-447.1,-312,1039,1051,,,,,
