real_x,real_y,im_x,im_y
21.8,-712.5,373.4,169.7
63,-667,335.6,212.4
-117.6,-673.6,504.9,206.7
-270.9,-674.7,651.2,205.8
-448.2,-672,821.3,207.5
106.4,-616.7,296.9,257.6
-21.6,-572.7,415.3,302
-203.7,-572.3,586.3,302.8
-277.5,-569.3,655.3,305.3
-367.6,-575.7,741.6,301.2
52.3,-473.5,347.1,394.1
-118.8,-475.9,506.5,394.1
-199.6,-480.6,582.1,390.8
-280.6,-485.7,658.6,385.8
-446.1,-480.2,816.4,392.4
-26.1,-400.5,421,464.7
-114,-399.7,502.4,465.6
-208.1,-401.3,591.2,464.7
-367.3,-392,740,475.4
54.4,-322.2,346.2,534.6
-120.3,-322.2,507.3,537.9
-274.7,-311,651.2,549.3
-447.1,-312,814.4,553.6
