real_x,real_y,im_x,im_y
21.8,-712.5,360.6,152.2
63,-667,321.5,194.9
-117.6,-673.6,495.8,193.1
-270.9,-674.7,643.4,194.9
-448.2,-672,814.1,200.2
106.4,-616.7,280.6,242
-21.6,-572.7,402.4,287.3
-203.7,-572.3,578.5,291.8
-277.5,-569.3,647.9,296.2
-367.6,-575.7,733.2,293.6
52.3,-473.5,333.1,381.6
-118.8,-475.9,495.8,383.4
-199.6,-480.6,572.3,380.7
-280.6,-485.7,648.7,375.4
-446.1,-480.2,807,385.1
-26.1,-400.5,406.9,452.7
-114,-399.7,490.5,453.6
-208.1,-401.3,580.3,454.4
-367.3,-392,729.7,466.1
54.4,-322.2,330.4,523.9
-120.3,-322.2,494,528.3
-274.7,-311,640.7,539.9
-447.1,-312,802.6,545.2
